FCS_HEADER_ID	PARAMETER_NUMBER	PNN_PREFERRED	PNN_REPORTED	PNS_PREFERRED	PNS_REPORTED
278370	49		Pt194Di		194Pt_cisplatin
278370	51		Pt198Di		198Pt_cisplatin
278370	57		beadDist		beadDist
278371	5		Cd112Di	hHLA-DRA, 112Cd	112Cd_HLA-DR
278371	10		Pr141Di	hCD38, 141Pr	141Pr_CD38
278371	15		Nd146Di	hCD19, 146Nd	146Nd_CD19
278371	17		Nd148Di		148Nd_FcRg
278371	25		Gd156Di		156Gd_NKG2D
278371	27		Gd158Di		158Gd_2B4
278371	43		Yb174Di	hNCAM1, 174Yb	174Yb_CD56
